OrderID,OrderDate,City,Region,Product,Category,Quantity,UnitPrice,Discount,Sales,Cost,Profit,PaymentMode
1,2026-03-09,South Jeffreyfort,South,Phone,Office,1,304,10,273.6,156.9,116.7,UPI
2,2025-08-04,North Brandonview,South,Keyboard,Office,5,3556,0,17780.0,9048.94,8731.06,UPI
3,2024-10-31,Johnburgh,West,Speaker,Accessories,5,1728,20,6912.0,4325.92,2586.08,UPI
4,2024-09-27,Nicholasmouth,South,Monitor,Electronics,2,3562,10,6411.6,3740.28,2671.32,UPI
5,2024-10-27,Port Christina,East,Laptop,Office,4,892,10,3211.2,2422.04,789.16,Net Banking
6,2025-04-26,Lake Jacobmouth,East,Speaker,Accessories,5,1122,15,4768.5,2496.98,2271.52,Card
7,2025-07-10,Youngmouth,North,Keyboard,Electronics,1,475,5,451.25,330.28,120.97,Net Banking
8,2024-09-20,Port Sarah,East,Keyboard,Office,3,3814,10,10297.8,5651.39,4646.41,Cash
9,2025-04-18,Brianton,South,Camera,Accessories,1,1501,20,1200.8,863.06,337.74,Cash
10,2026-01-28,Whitneyberg,North,Keyboard,Electronics,5,1899,10,8545.5,6433.53,2111.97,Cash
11,2024-07-20,Mcintyrefort,East,Keyboard,Office,4,2293,0,9172.0,5166.54,4005.46,Net Banking
12,2025-11-02,Lake Keithport,South,Printer,Office,4,3858,5,14660.4,8495.17,6165.23,Cash
13,2025-03-04,Crystalport,South,Headphones,Office,5,3609,20,14436.0,8947.72,5488.28,Net Banking
14,2024-07-27,Port Alicia,South,Tablet,Office,1,485,0,485.0,264.74,220.26,UPI
15,2025-04-28,Harrischester,East,Printer,Electronics,4,3226,20,10323.2,8246.55,2076.65,UPI
16,2025-06-10,Lake Sarah,West,Headphones,Accessories,5,2285,10,10282.5,5485.36,4797.14,UPI
17,2026-02-28,Seanmouth,North,Mouse,Office,3,4200,5,11970.0,7808.08,4161.92,Card
18,2025-02-18,Brownchester,North,Speaker,Accessories,2,3163,5,6009.7,3977.3,2032.4,Net Banking
19,2026-05-15,Jonesville,East,Keyboard,Electronics,1,1016,10,914.4,698.25,216.15,Card
20,2025-11-29,South Kathleen,North,Printer,Electronics,5,745,0,3725.0,2680.41,1044.59,Card
21,2023-08-21,West Nataliehaven,West,Keyboard,Office,4,4603,5,17491.4,10136.56,7354.84,Card
22,2024-02-15,Jensenbury,West,Phone,Electronics,3,3368,10,9093.6,5741.97,3351.63,Card
23,2025-01-19,East Devon,South,Speaker,Electronics,1,2869,0,2869.0,1940.86,928.14,UPI
24,2024-06-06,Englishberg,North,Monitor,Electronics,1,582,5,552.9,287.63,265.27,Card
25,2025-04-28,Port Kevin,West,Keyboard,Accessories,3,4076,5,11616.6,7687.52,3929.08,Net Banking
26,2025-12-09,Richardfurt,East,Tablet,Accessories,2,872,0,1744.0,1216.78,527.22,Net Banking
27,2025-04-02,North Robertfurt,East,Phone,Electronics,1,906,0,906.0,562.43,343.57,Card
28,2024-09-23,New Matthew,South,Mouse,Accessories,2,4493,15,7638.1,4140.27,3497.83,Card
29,2025-06-03,Julianfurt,North,Phone,Electronics,1,3730,20,2984.0,1579.65,1404.35,Card
30,2026-04-12,Craigborough,West,Laptop,Electronics,4,4078,15,13865.2,7821.69,6043.51,Net Banking
31,2026-04-04,Lake Lisa,West,Mouse,Accessories,1,3298,10,2968.2,2309.13,659.07,Net Banking
32,2023-09-26,Millerfort,North,Speaker,Office,2,1655,10,2979.0,1684.06,1294.94,UPI
33,2025-01-06,Garyton,South,Laptop,Office,3,568,0,1704.0,1150.63,553.37,UPI
34,2026-07-01,Karaland,South,Tablet,Electronics,2,661,20,1057.6,550.36,507.24,Card
35,2026-07-02,Medinaburgh,West,Speaker,Office,5,4970,0,24850.0,17042.49,7807.51,Cash
36,2024-04-11,New Rodney,West,Headphones,Office,3,1773,10,4787.1,2736.33,2050.77,Cash
37,2024-05-19,West Christopherton,North,Phone,Office,4,2690,0,10760.0,5410.07,5349.93,Card
38,2024-02-01,Mariefurt,North,Keyboard,Accessories,5,2272,5,10792.0,8417.52,2374.48,Cash
39,2025-11-28,East Reginaldview,North,Printer,Accessories,2,3689,20,5902.4,4196.97,1705.43,UPI
40,2026-06-11,Lowemouth,South,Mouse,Accessories,2,2266,0,4532.0,3475.65,1056.35,Card
41,2024-10-06,North Elizabeth,East,Laptop,Electronics,3,1767,10,4770.9,3108.83,1662.07,Net Banking
42,2025-09-22,Harriston,South,Mouse,Electronics,3,461,0,1383.0,829.89,553.11,Net Banking
43,2024-06-01,Lisaborough,North,Headphones,Office,5,3603,20,14412.0,7247.81,7164.19,UPI
44,2026-05-02,Jenniferbury,South,Laptop,Accessories,3,4871,20,11690.4,6364.58,5325.82,Cash
45,2025-01-08,South Deannaville,North,Monitor,Office,1,3031,5,2879.45,2028.92,850.53,Net Banking
46,2025-08-19,Sheabury,South,Tablet,Electronics,5,1366,5,6488.5,4927.25,1561.25,Card
47,2024-08-13,Port Jonathanstad,North,Tablet,Electronics,3,3472,5,9895.2,5739.63,4155.57,Net Banking
48,2023-09-07,West Kennethmouth,South,Keyboard,Electronics,2,1734,15,2947.8,1783.12,1164.68,Card
49,2025-06-17,South Kennethburgh,East,Monitor,Office,4,2789,10,10040.4,7623.73,2416.67,Net Banking
50,2025-07-06,West Katherineborough,East,Headphones,Office,5,2812,0,14060.0,7516.51,6543.49,Cash
51,2025-06-11,New Jamesfort,East,Tablet,Office,1,988,20,790.4,498.24,292.16,UPI
52,2023-08-12,Smithhaven,West,Laptop,Office,4,4823,5,18327.4,10564.22,7763.18,Card
53,2025-09-15,Port Cory,East,Speaker,Accessories,3,3633,0,10899.0,8552.03,2346.97,UPI
54,2025-08-31,Lake Josefurt,East,Tablet,Office,3,4254,10,11485.8,8040.84,3444.96,Cash
55,2025-12-12,South Katrinachester,West,Headphones,Office,5,1142,5,5424.5,3396.46,2028.04,Cash
56,2026-03-28,Lake Anna,South,Tablet,Office,4,4588,0,18352.0,10849.01,7502.99,Cash
57,2023-09-08,South Kimberlyton,West,Headphones,Office,4,3719,15,12644.6,8885.21,3759.39,UPI
58,2026-01-10,Christopherland,South,Mouse,Electronics,3,4322,20,10372.8,6229.45,4143.35,Card
59,2023-11-02,Benjaminmouth,West,Speaker,Electronics,2,300,0,600.0,344.07,255.93,Net Banking
60,2023-10-05,Michaelborough,West,Camera,Accessories,4,4815,5,18297.0,13091.57,5205.43,Card
61,2024-12-26,Bethanyfort,South,Headphones,Office,2,145,0,290.0,212.72,77.28,Net Banking
62,2025-04-29,Wrightstad,North,Camera,Electronics,1,4666,5,4432.7,3436.41,996.29,Net Banking
63,2025-01-27,Clarkeburgh,West,Speaker,Office,5,4678,20,18712.0,11137.18,7574.82,Net Banking
64,2024-07-28,North Melissa,West,Camera,Accessories,5,3752,5,17822.0,12887.03,4934.97,Card
65,2025-04-09,Craneland,East,Camera,Electronics,3,4370,15,11143.5,7667.0,3476.5,Cash
66,2023-12-24,Port Davidland,North,Headphones,Electronics,2,2325,10,4185.0,2493.9,1691.1,Card
